方向,竞品名称,地区,类型,核心功能,技术优势,功能优势,主要方向定位,核实状态
D1 水产养殖智能投喂与摄食行为智能感知,人保财险湛江「海洋牧场物联网监测系统/粤海保」,湛江·雷州流沙湾,政府采购+保险联动,AI 识别鱼群游动轨迹与摄食状态；多参数水质+高清视频 24h 监测；多波束声呐测鱼群数量,视频 AI+声呐双通道；声呐计数测试精度 92%,13 km²、165 个网箱规模；直接绑定保险理赔,面向管理端与保险方，监测—预警—理赔闭环,【已核实】
D1 水产养殖智能投喂与摄食行为智能感知,湛江湾实验室「湛江湾1号」海洋 AI 智能体,湛江·硇洲岛外海,科研平台/工程落地,高清水下摄像+多波束成像声呐；分析鱼群总量、体长、摄食状态,声光融合多模态；百万级鱼类标注数据集,深远海无人化，2—4 人管护上万尾鱼,面向大型网箱，规划全链条智能投喂,【已核实】
D1 水产养殖智能投喂与摄食行为智能感知,青岛励图高科「北冥智渔」,青岛,商用·已备案生成式 AI,摄像头分析摄食活跃度输出投喂量；体表病理识别提前 3—5 天预警；鱼病知识问答,320 亿参数多模态基座；「水—饵—病—市—知」五维引擎,全国首个备案渔业大模型；服务 3000+ 企业、10 万+ 养殖户,面向规模企业与散户的渔业数智大脑,【已核实】
D1 水产养殖智能投喂与摄食行为智能感知,湛江科技学院「智擎虾塘」,湛江·遂溪/坡头,学生项目,多参数水下监测浮标（浑浊水体识别残饵）；残饵识别双模型投喂决策；传统投饵机低成本智能化改造,双模型残饵识别；投喂误差<5%、饲料浪费降 15%+,7 家养殖户试点；已有发明专利与软著,面向本地对虾养殖户的投喂决策,【已核实】
D1 水产养殖智能投喂与摄食行为智能感知,广东海洋大学「海创团队/海创智渔」,湛江·广东海洋大学,高校科研团队（数计学院）,水下机器人、机械臂、SLAM、AI 分组；云渔慧养平台,30+ 专利、70+ 软著；实验室配 RTX3090,同校同学院，软硬全栈,面向智慧渔业研发与产业合作,【已核实】
D1 水产养殖智能投喂与摄食行为智能感知,广东渔易「渔军师·塘拍拍」AI 料罾机器人,广州,商用产品,24h 监测虾群进食；视频切片+大模型分析残饵与虾粪；联动智能投料机按需补料,料罾俯拍+视频切片大模型；闭环到执行,降饵料比；广东本地渠道强，覆盖 10 万+ 养殖户,面向虾塘养殖户的 AI 料罾+智能投喂,【子代理】
E1 养殖物联网感知与低功耗传感网络,人保财险「粤海保」,湛江·雷州流沙湾,政府采购/保险联动,水质传感 24h 监测；视频 AI 识别；声呐测鱼群+预警+理赔,三源融合；声呐精度 92%,规模大、保险背书,海洋牧场管理端,【已核实】
E1 养殖物联网感知与低功耗传感网络,湛江湾实验室「湛江湾1号」,湛江·硇洲岛外海,科研平台,水下摄像+多波束声呐采集；鱼群总量/体长/摄食分析,成像声呐+视觉多模态,实验室背书、深远海网箱级,大型海洋牧场,【已核实】
E1 养殖物联网感知与低功耗传感网络,湛江科技学院「智擎虾塘」,湛江·遂溪/坡头,学生项目,多参数水下监测浮标；残饵识别；投饵机改造,投喂误差<5%,本地落地 7 户、成本低,本地对虾养殖户,【已核实】
E1 养殖物联网感知与低功耗传感网络,湛江杰丰物联,湛江·东海岛对虾基地,商用·本地公司,水质实时监测；智能投料控制终端；养殖数据中台,自研抗腐蚀封装，故障率较行业低约四成,针对南美白对虾优化算法；对接本地合作社,湛江对虾养殖户/合作社,【子代理】
E1 养殖物联网感知与低功耗传感网络,湛江市昆鹏科技,湛江·霞山区,商用·本地公司,实时采集溶氧/pH/温度；自动调节增氧与投料；微信语音远程运维,物联网+边缘计算；强化防腐蚀抗台风,本地化定制调参,对虾/石斑/金鲳高密度养殖,【子代理】
E1 养殖物联网感知与低功耗传感网络,励图高科「水质哨兵」+iSEAPLAT,青岛,商用产品/工业互联网平台,千元级溶氧传感器 24h 监测；红外摄像头捕活动轨迹+电话报警,自研荧光膜将万元级降至千元级、长周期免清洗,全国渠道；渔业唯一国家级工业互联网平台,全国散户/规模场的水质监测底座,【子代理】
E1 养殖物联网感知与低功耗传感网络,广东海洋大学「海创智渔」,湛江·广东海洋大学,高校科研团队,水下机器人/机械臂/SLAM/AI；云渔慧养平台,30+ 专利、70+ 软著、RTX3090,同校同专业、软硬全栈,智慧渔业科研与落地,【已核实】
E5 精准投喂装备与机电控制,国内主流投饵机（中渔/渔牌/金湖/喃嵘/泰义/瑞亚/凯雷/宜兴业）,佛山/天津/上海/台州/烟台/顺德/武汉,成熟工业品,定时定量离心抛投或风送投料；部分带无料停机、IP54,标准化量产；基础型 460—2000 元，农机补贴后低至 180 元,价格极低、即插即用,广大养殖户的投喂执行本体,【子代理】
E5 精准投喂装备与机电控制,湛江科技学院「智擎虾塘」,湛江·遂溪/坡头,学生项目,对传统投饵机低成本智能化改造+残饵双模型决策,投喂误差<5%、浪费降 15%+；有专利软著,贴湛江虾塘、成本极低,本地对虾养殖户,【已核实】
E5 精准投喂装备与机电控制,广东海洋大学「海创智渔」,湛江·广东海洋大学,高校科研团队,水下机器人、机械臂、自主导航、AI,30+ 专利、70+ 软著,同校同专业，具装备研发能力,智慧渔业装备科研,【已核实】
E5 精准投喂装备与机电控制,广东渔易「渔军师」智能投料机,广州,商用产品,塘拍拍监测+AI 分析残饵/虾粪+联动投料机按需补料,视频切片+大模型；执行闭环,广东渠道强,虾/鱼塘养殖户,【子代理】
E5 精准投喂装备与机电控制,国外对照：eFishery/UMITRON/Aquabyte/ReelData,印尼/新日/挪威/加拿大,商用 AI 投喂系统,按食欲投喂；残饵识别；5 分钟投喂预测,视觉+声呐+边缘计算+SaaS,高价值品种闭环成熟；eFishery 降饲料成本约 21%,海外三文鱼/RAS 企业,【子代理】
D2 水下图像增强与水下目标检测识别,湛江湾实验室「湛江湾1号」,湛江·硇洲岛外海,科研平台,高清水下摄像+多波束声呐；鱼群总量/体长/摄食分析,声光融合多模态,深远海网箱级,大型海洋牧场,【已核实】
